Policy Number,Age Band,Years of Driving Experience,Number of Vehicles,Gender,Married,Vehicle Age,Losses,Premium payment
173501,B,31,2,F,Single,7,393,0
143482,C,48,2,F,Single,2,581,1
135275,B,27,2,M,Married,6,345,0
139695,A,0,2,F,Single,12,411,0
123916,C,49,2,F,Single,12,96,0
185847,A,3,2,M,Single,0,1151,1
114658,A,1,2,M,Married,13,347,0
155307,B,33,2,F,Single,9,476,0
189575,A,5,2,M,Married,8,600,1
116416,A,0,2,F,Single,13,229,0
102037,A,1,2,F,Single,13,253,0
134796,A,0,2,F,Married,13,468,0
109548,A,0,2,F,Married,5,587,1
128550,A,3,2,F,Single,11,312,0
106555,C,43,2,M,Married,11,58,0
191056,A,1,2,M,Married,15,381,0
152338,B,13,2,F,Married,14,296,0
148363,B,19,2,M,Married,7,394,0
178003,A,1,2,M,Single,0,1370,1
176586,B,12,2,F,Married,11,237,0
181139,B,12,2,F,Single,13,377,0
138635,C,44,2,F,Single,4,359,0
153328,A,5,2,M,Single,10,776,1
174776,C,42,2,F,Single,7,403,0
163437,C,44,2,M,Married,6,36,0
124105,C,42,2,M,Single,15,180,0
198747,A,1,2,F,Married,0,526,1
174661,A,0,2,F,Married,13,111,0
104876,C,45,2,F,Married,15,27,0
191519,C,44,2,M,Single,12,118,0
110844,B,28,2,M,Married,9,377,0
107630,B,17,2,M,Single,15,395,0
157732,B,38,2,M,Single,8,418,0
160962,C,49,2,F,Single,8,218,0
126035,C,46,2,M,Single,14,343,0
178902,B,18,2,M,Married,9,384,0
154636,A,2,2,F,Single,10,708,1
196657,A,5,2,M,Married,9,437,0
199904,C,43,2,M,Single,6,114,0
196000,A,0,2,M,Married,5,867,1
116096,A,0,2,F,Married,13,237,0
138990,C,45,2,M,Married,5,334,0
197165,B,34,2,F,Married,9,332,0
133096,B,10,2,F,Married,2,660,1
196524,A,6,2,M,Single,12,510,1
161702,B,40,2,M,Married,6,356,0
122908,B,14,2,M,Single,2,762,1
183024,B,13,2,M,Single,13,391,0
191999,C,48,2,M,Married,8,308,0
160081,C,42,2,F,Single,6,267,0
193935,C,41,2,F,Single,6,396,0
104816,C,51,2,M,Single,7,116,0
130881,B,15,2,F,Single,2,586,1
142244,A,0,2,M,Single,11,660,1
123228,C,42,2,F,Married,10,266,0
195140,B,10,2,F,Married,5,546,1
177458,C,48,2,F,Married,13,124,0
178971,C,47,2,F,Single,8,41,0
111212,A,2,2,M,Married,12,535,1
137624,B,20,2,F,Single,1,740,1
172844,B,23,2,F,Single,12,340,0
145849,C,50,2,M,Single,4,510,1
181070,C,41,2,F,Single,0,286,0
157733,C,50,2,F,Married,6,244,0
153587,C,45,2,M,Single,12,201,0
117158,A,2,2,F,Single,13,179,0
114919,B,16,2,M,Married,7,426,0
174887,B,23,2,F,Single,2,667,1
153353,C,46,2,M,Married,10,220,0
188700,B,17,2,M,Single,3,698,1
180435,C,47,2,F,Married,6,76,0
134752,C,48,2,F,Married,15,57,0
195144,A,8,2,M,Single,14,638,1
193950,A,6,2,M,Married,14,244,0
192126,B,27,2,F,Married,3,637,1
193786,B,29,2,M,Single,9,421,0
101726,B,34,2,F,Single,2,504,1
162398,C,46,2,F,Single,10,190,0
153514,B,29,2,M,Married,6,351,0
196325,B,40,2,M,Married,11,297,0
129393,B,11,2,F,Married,10,361,0
107345,B,25,2,F,Married,1,638,1
127866,A,1,2,F,Married,12,258,0
158610,A,6,2,F,Married,14,257,0
160265,B,34,2,F,Single,9,463,0
118920,B,9,2,M,Single,11,507,1
170345,C,43,2,M,Married,7,285,0
196923,C,47,2,F,Single,1,56,0
147851,B,30,2,F,Single,6,393,0
186358,C,46,2,M,Married,6,110,0
165045,B,36,2,F,Single,4,439,0
133148,A,1,2,M,Married,7,502,1
152556,B,19,2,M,Single,10,538,1
153627,C,41,2,F,Single,12,266,0
165514,B,31,2,F,Married,3,366,0
184159,A,0,2,F,Married,12,170,0
131253,C,43,2,M,Single,14,18,0
123640,A,5,2,M,Single,15,445,0
158931,A,0,2,F,Married,15,422,0
133965,B,12,2,F,Married,8,295,0
115444,B,13,2,F,Single,9,399,0
134220,B,14,2,M,Single,10,444,0
159312,A,2,2,F,Married,11,265,0
189654,B,27,2,M,Married,0,613,1
124277,C,42,2,M,Married,12,60,0
171002,C,46,2,M,Married,10,214,0
110665,C,42,2,F,Single,2,124,0
120303,B,35,2,F,Single,5,952,1
121544,B,28,2,M,Single,2,563,1
193478,C,41,2,F,Single,9,274,0
122107,B,27,2,M,Single,14,168,0
191190,A,3,2,M,Married,1,1193,1
145819,C,44,2,M,Married,2,343,0
100110,A,6,2,F,Single,11,293,0
127304,C,53,2,F,Single,11,217,0
117449,A,0,2,F,Married,7,489,0
143554,A,4,2,M,Single,6,1030,1
163649,C,43,2,F,Married,15,30,0
167902,B,32,2,M,Single,14,224,0
133185,B,25,2,F,Single,2,862,1
112411,A,2,2,M,Single,15,789,1
190354,B,8,2,F,Single,7,410,0
107944,C,43,2,M,Married,11,134,0
175313,B,28,2,F,Married,7,322,0
105468,C,44,2,M,Married,0,69,0
142841,B,32,2,F,Married,8,328,0
153157,C,46,2,M,Single,8,99,0
177825,A,5,2,F,Single,13,295,0
143584,B,17,2,F,Married,10,372,0
163336,A,0,2,M,Single,5,1026,1
145924,B,35,2,M,Single,4,832,1
156322,A,3,2,M,Married,4,556,1
110313,A,6,2,F,Married,4,442,0
113800,B,22,2,M,Single,7,415,0
156774,A,7,2,F,Married,15,437,0
105932,B,19,2,M,Married,11,341,0
126038,C,47,2,F,Single,7,239,0
116831,C,46,2,F,Married,13,107,0
142747,B,26,2,F,Married,7,308,0
185320,C,45,2,M,Single,4,585,1
134097,C,47,2,M,Single,7,289,0
106326,C,50,2,M,Married,11,70,0
185743,A,1,2,F,Single,11,247,0
149929,B,23,2,F,Single,15,307,0
154741,A,5,2,M,Married,12,696,1
177527,A,0,2,F,Married,11,333,0
179063,B,38,2,M,Married,15,225,0
136520,A,5,2,M,Married,6,615,1
185768,A,0,2,F,Married,15,251,0
195042,C,47,2,M,Single,5,469,0
144545,A,3,2,M,Married,11,648,1
104953,B,39,2,M,Single,13,437,0
102706,B,19,2,F,Married,3,662,1
133464,A,2,2,M,Married,10,611,1
163750,C,45,2,M,Single,0,553,1
194579,B,24,2,F,Married,12,308,0
148702,A,8,2,M,Single,6,615,1
142070,A,4,2,M,Married,12,420,0
188047,C,44,2,F,Married,14,36,0
138587,B,16,2,M,Married,2,687,1
125904,A,0,2,M,Married,6,779,1
104777,B,25,2,M,Married,7,363,0
177720,A,0,2,F,Married,12,272,0
172799,B,32,2,F,Married,10,319,0
107033,B,37,2,M,Single,4,603,1
142565,C,46,2,M,Single,12,103,0
194081,B,17,2,M,Single,10,441,0
186797,A,5,2,F,Single,4,821,1
196570,A,0,2,F,Married,15,190,0
189192,A,0,2,M,Married,12,202,0
142443,C,46,2,M,Single,4,423,0
138715,A,3,2,M,Married,1,1152,1
191335,C,45,2,M,Single,2,460,0
179258,B,33,2,M,Single,7,428,0
128864,C,51,2,F,Single,11,136,0
148374,A,0,2,F,Married,4,495,0
186105,B,30,2,M,Single,13,386,0
156649,B,26,2,F,Married,5,379,0
134149,C,47,2,F,Married,3,320,0
124766,B,33,2,M,Single,9,453,0
174454,C,40,2,F,Married,4,93,0
120595,C,48,2,M,Married,12,285,0
157795,B,11,2,F,Single,13,287,0
110631,A,0,2,M,Single,10,1190,1
168025,B,37,2,F,Married,11,136,0
134145,B,7,2,M,Single,6,440,0
157356,A,1,2,F,Single,12,480,0
188328,B,11,2,F,Single,9,368,0
153214,C,43,2,M,Single,8,59,0
115197,C,52,2,M,Single,15,228,0
122164,A,0,2,F,Married,14,338,0
161210,B,27,2,F,Single,6,405,0
189047,A,0,2,M,Single,7,1072,1
144032,C,50,2,F,Married,10,167,0
181437,A,8,2,M,Married,12,124,0
135976,B,14,2,F,Single,2,676,1
180972,A,3,2,F,Single,5,682,1
147579,C,46,2,M,Single,10,121,0
148646,C,50,2,M,Single,2,82,0
186361,A,0,2,F,Married,15,132,0
142384,C,44,2,F,Married,5,297,0
165566,C,51,2,F,Married,7,96,0
199233,B,13,2,M,Single,3,729,1
170071,C,42,2,F,Single,11,185,0
121485,A,0,2,F,Single,12,269,0
100325,B,34,2,M,Married,12,309,0
120404,C,51,2,M,Single,13,70,0
194899,A,6,2,F,Married,14,251,0
126066,B,35,2,M,Single,6,475,0
198583,B,29,2,M,Married,5,740,1
164792,C,41,2,F,Married,9,294,0
109959,A,7,2,M,Married,15,492,0
103229,C,45,2,F,Single,14,235,0
103588,A,0,2,F,Single,5,639,1
169509,B,11,2,M,Single,9,397,0
114053,C,41,2,F,Single,6,178,0
120886,C,48,2,M,Single,0,699,1
121512,C,49,2,F,Married,14,175,0
173574,C,43,2,M,Single,1,403,0
184810,A,1,2,M,Married,14,566,1
129122,B,16,2,F,Single,3,436,0
159085,C,49,2,F,Married,3,286,0
123452,B,12,2,M,Single,15,349,0
137351,A,8,2,F,Married,13,259,0
100792,B,10,2,M,Married,7,322,0
195442,C,51,2,F,Single,4,388,0
177243,A,0,2,M,Married,15,332,0
168401,A,6,2,F,Married,12,262,0
116031,C,43,2,F,Married,1,110,0
170611,A,0,2,F,Single,7,731,1
128569,C,51,2,F,Single,14,372,0
121935,A,0,2,M,Married,0,664,1
135539,C,43,2,M,Single,11,302,0
169527,B,29,2,F,Single,10,404,0
137332,B,31,2,F,Single,11,309,0
153029,B,19,2,M,Married,2,398,0
137269,B,19,2,M,Married,6,319,0
111756,B,10,2,M,Single,13,347,0
192091,B,25,2,M,Married,10,341,0
181712,C,43,2,F,Single,3,390,0
143015,B,21,2,F,Single,6,422,0
191908,C,50,2,F,Single,6,390,0
139225,C,43,2,F,Married,8,118,0
112013,A,0,2,F,Single,11,695,1
192330,C,49,2,F,Married,8,208,0
175518,C,47,2,F,Married,0,168,0
124536,B,10,2,F,Single,14,137,0
150310,B,29,2,M,Single,10,535,1
139738,B,39,2,M,Single,6,473,0
163512,B,36,2,M,Single,3,925,1
146306,A,7,2,M,Married,14,305,0
159560,B,23,2,F,Single,10,342,0
142870,C,41,2,F,Single,2,297,0
158104,B,10,2,M,Married,0,632,1
109611,B,32,2,M,Single,4,788,1
154961,C,45,2,F,Married,12,175,0
140583,A,4,2,F,Married,12,170,0
123629,B,15,2,M,Single,13,270,0
182372,C,43,2,F,Single,13,389,0
148528,B,31,2,M,Single,10,360,0
127220,C,51,2,M,Single,3,274,0
126737,C,51,2,F,Single,11,55,0
117322,B,37,2,M,Single,12,152,0
115456,C,45,2,M,Single,2,524,1
165944,C,48,2,M,Married,10,172,0
193742,C,44,2,F,Married,12,123,0
129207,A,7,2,F,Single,1,858,1
144219,A,0,2,F,Married,6,469,0
125427,B,8,2,M,Married,7,424,0
170331,B,26,2,M,Married,9,357,0
197817,A,0,2,M,Married,8,477,0
107427,B,34,2,F,Married,4,603,1
187630,B,33,2,F,Single,0,652,1
136014,C,40,2,M,Married,2,100,0
173154,A,1,2,M,Single,8,1093,1
114142,A,6,2,M,Single,14,981,1
179821,B,23,2,M,Single,8,461,0
106555,A,7,2,F,Married,11,256,0
199695,C,46,2,M,Single,3,236,0
164470,B,30,2,M,Married,12,227,0
177409,A,2,2,M,Single,13,557,1
119478,C,41,2,F,Married,4,283,0
145098,C,45,2,M,Married,13,75,0
163701,C,51,2,F,Single,2,341,0
132193,C,49,2,F,Single,15,160,0
139916,B,32,2,F,Single,8,468,0
183014,B,37,2,F,Single,12,366,0
167022,A,0,2,M,Married,8,397,0
151938,C,40,2,F,Single,6,141,0
163146,B,23,2,M,Married,3,398,0
123562,A,2,2,M,Married,12,245,0
132981,B,23,2,F,Single,10,317,0
149152,C,46,2,M,Married,5,201,0
171316,C,47,2,F,Married,4,142,0
148777,B,22,2,M,Married,15,267,0
149376,C,48,2,M,Married,7,170,0
162958,C,50,2,F,Married,8,133,0
105088,A,3,2,F,Single,10,496,0
122102,B,38,2,F,Single,8,419,0
105446,B,10,2,F,Married,8,291,0
103443,A,6,2,M,Married,11,245,0
183063,A,5,2,F,Married,11,279,0
141649,B,22,2,M,Single,14,185,0
113022,B,19,2,F,Married,6,380,0
150948,B,32,2,M,Married,5,530,1
185267,B,13,2,F,Married,11,289,0
179585,B,16,2,M,Single,3,738,1
152612,C,45,2,M,Married,5,338,0
128261,A,3,2,M,Married,11,194,0
113948,A,6,2,M,Married,8,522,1
152332,C,43,2,F,Single,0,665,1
169873,B,11,2,M,Married,7,370,0
125421,A,7,2,F,Single,12,350,0
123332,C,42,2,F,Single,0,188,0
148265,C,42,2,M,Single,10,240,0
170087,B,14,2,M,Single,10,388,0
169825,B,23,2,M,Single,15,355,0
111897,B,18,2,F,Single,1,477,0
174771,B,14,2,F,Married,10,334,0
166450,B,33,2,F,Married,0,422,0
187382,A,1,2,F,Married,13,185,0
141567,A,7,2,F,Single,14,306,0
171617,C,43,2,M,Married,2,214,0
137704,A,3,2,M,Married,8,347,0
170905,B,38,2,M,Single,12,494,0
121737,B,12,2,M,Single,10,473,0
149436,B,16,2,M,Single,9,510,1
174642,B,40,2,F,Single,12,246,0
161418,C,48,2,F,Single,3,59,0
132244,C,49,2,F,Single,0,456,0
103888,C,47,2,M,Married,9,142,0
102115,B,9,2,F,Married,13,320,0
118220,B,10,2,F,Married,11,312,0
129355,A,0,2,M,Single,12,517,1
115566,C,43,2,F,Married,3,201,0
198482,A,0,2,F,Married,11,455,0
154387,C,45,2,M,Single,14,236,0
199592,C,44,2,M,Married,9,214,0
189521,A,0,2,F,Married,14,163,0
109628,C,50,2,M,Single,13,17,0
112951,C,47,2,M,Married,10,222,0
177624,B,12,2,F,Married,2,509,1
139893,C,49,2,M,Married,13,176,0
152158,B,33,2,M,Single,10,491,0
104434,B,10,2,F,Single,3,418,0
163180,A,0,2,F,Single,14,186,0
138357,B,33,2,M,Single,1,525,1
145834,A,0,2,F,Single,8,864,1
119306,A,0,2,F,Single,14,434,0
136948,B,37,2,M,Single,1,602,1
138629,B,38,2,M,Married,10,335,0
113051,A,6,2,F,Married,13,286,0
144446,A,5,2,M,Married,13,575,1
149397,A,1,2,F,Single,15,329,0
106289,B,36,2,F,Single,6,394,0
116337,B,34,2,F,Single,8,406,0
192539,C,40,2,F,Single,5,320,0
107897,C,45,2,M,Married,8,337,0
170572,B,29,2,F,Married,0,473,0
147362,A,5,2,M,Single,15,710,1
138688,C,44,2,M,Married,15,111,0
159465,B,35,2,M,Single,9,417,0
108721,C,52,2,M,Single,0,350,0
143763,C,53,2,M,Married,10,51,0
148473,B,33,2,F,Single,12,326,0
167494,A,2,2,M,Married,13,243,0
172726,B,33,2,F,Married,15,297,0
112764,C,43,2,F,Married,8,98,0
163961,B,18,2,M,Married,9,402,0
139100,B,28,2,F,Single,8,376,0
180958,C,52,2,M,Married,5,141,0
195958,C,48,2,M,Single,3,436,0
104613,A,1,2,M,Single,10,1286,1
174309,A,2,2,M,Single,13,1041,1
128174,C,47,2,M,Single,11,48,0
180050,B,24,2,F,Single,2,690,1
133645,A,8,2,F,Single,14,208,0
152931,A,0,2,M,Married,15,395,0
102993,B,36,2,F,Married,13,228,0
124566,C,51,2,M,Single,7,169,0
177308,A,0,2,F,Single,15,413,0
104057,B,19,2,F,Married,3,599,1
120503,B,29,2,F,Single,9,426,0
143068,B,14,2,M,Married,0,474,0
173799,B,32,2,F,Single,13,324,0
115732,B,16,2,M,Single,1,635,1
168787,B,34,2,M,Single,15,368,0
133866,B,30,2,F,Single,3,702,1
154959,A,7,2,F,Single,14,623,1
188010,B,13,2,F,Single,0,378,0
146414,B,9,2,F,Single,9,455,0
139361,C,49,2,F,Single,1,43,0
134326,C,49,2,M,Single,9,229,0
170464,B,38,2,M,Married,12,323,0
105949,C,48,2,F,Single,1,111,0
176336,C,43,2,F,Single,11,18,0
170515,C,45,2,F,Married,8,154,0
136227,B,8,2,M,Married,6,361,0
193376,B,13,2,F,Married,0,603,1
106282,C,49,2,F,Married,10,232,0
133314,B,26,2,F,Married,13,218,0
141174,C,43,2,F,Married,13,235,0
181182,B,8,2,F,Single,7,473,0
113593,C,46,2,M,Married,7,339,0
195808,B,23,2,F,Married,2,391,0
134822,A,0,2,F,Single,14,359,0
181731,B,20,2,M,Married,3,513,1
106650,B,39,2,M,Single,6,504,1
199346,C,52,2,M,Married,14,117,0
101331,B,28,2,M,Married,1,518,1
150595,C,43,2,F,Married,12,18,0
120341,A,8,2,F,Married,15,218,0
112642,A,4,2,F,Married,3,387,0
148218,B,14,2,F,Single,13,430,0
181488,A,0,2,F,Single,11,283,0
166343,C,43,2,F,Married,3,205,0
172733,C,45,2,M,Single,11,358,0
197528,C,47,2,M,Married,3,354,0
135258,A,0,2,M,Married,15,488,0
192216,B,21,2,F,Married,8,317,0
176322,B,20,2,F,Married,14,182,0
112510,C,43,2,F,Single,5,318,0
168872,B,12,2,F,Single,12,237,0
192582,A,0,2,M,Single,8,1323,1
191643,A,0,2,M,Married,13,388,0
191513,C,43,2,F,Married,8,63,0
199026,C,52,2,F,Single,13,189,0
167021,A,6,2,F,Married,10,339,0
106957,A,7,2,F,Single,10,562,1
180989,A,0,2,M,Single,15,463,0
198426,C,42,2,M,Single,6,400,0
139290,C,45,2,M,Single,6,533,1
122176,A,0,2,M,Single,9,782,1
144488,B,14,2,M,Married,7,353,0
123078,B,23,2,F,Single,15,142,0
118790,A,0,2,F,Single,10,472,0
110090,C,39,2,F,Single,6,301,0
107300,A,4,2,M,Married,5,552,1
129838,B,24,2,F,Married,3,621,1
162333,A,4,2,M,Single,14,753,1
136691,B,20,2,F,Married,4,422,0
109599,A,0,2,F,Single,11,415,0
103121,B,37,2,M,Single,0,801,1
145064,C,50,2,M,Single,10,86,0
149385,C,47,2,F,Married,8,46,0
165710,B,16,2,F,Single,9,344,0
149131,B,24,2,F,Single,2,479,0
165671,B,33,2,F,Married,12,261,0
183339,B,8,2,F,Single,3,686,1
127143,A,0,2,F,Single,15,535,1
112888,B,6,2,M,Married,6,377,0
148492,B,22,2,M,Single,3,757,1
110883,B,29,2,M,Single,11,518,1
151022,A,8,2,F,Married,13,476,0
122547,B,34,2,F,Married,7,358,0
168702,C,50,2,M,Married,7,103,0
137669,B,28,2,F,Married,10,334,0
170555,B,16,2,M,Single,12,444,0
113393,C,48,2,M,Single,5,139,0
148015,B,30,2,F,Single,0,535,1
106836,B,27,2,F,Married,1,572,1
104883,C,47,2,F,Married,6,293,0
118965,B,31,2,F,Single,8,390,0
100639,B,14,2,M,Married,5,559,1
121255,A,4,2,F,Single,15,716,1
176075,C,40,2,F,Married,13,257,0
127229,B,34,2,F,Single,8,383,0
148796,A,0,2,M,Single,12,512,1
173362,C,40,2,M,Married,13,201,0
146355,B,35,2,M,Married,1,488,0
147429,A,3,2,F,Single,15,316,0
194417,B,11,2,M,Married,15,233,0
155424,C,49,2,F,Single,12,130,0
106599,C,51,2,M,Single,6,141,0
181462,B,17,2,M,Married,12,205,0
173292,C,43,2,F,Single,8,320,0
150352,C,49,2,F,Single,4,418,0
188208,B,22,2,F,Married,5,527,1
107019,B,36,2,F,Married,6,310,0
160191,A,7,2,F,Single,9,692,1
118528,A,2,2,F,Married,12,281,0
189563,C,42,2,F,Single,14,24,0
179975,C,49,2,M,Single,6,384,0
166472,A,0,2,M,Married,11,340,0
192456,B,23,2,M,Married,14,288,0
117425,A,0,2,M,Single,4,1248,1
125254,B,8,2,F,Married,9,325,0
158478,A,0,2,M,Married,12,627,1
127244,C,47,2,M,Married,7,224,0
140895,A,5,2,F,Single,11,564,1
182237,A,4,2,M,Single,2,1394,1
136940,A,2,2,F,Married,11,288,0
107595,B,39,2,F,Married,8,294,0
197780,B,14,2,F,Married,14,279,0
164174,B,15,2,M,Married,9,366,0
118785,B,8,2,M,Single,10,421,0
117546,A,0,2,F,Married,14,106,0
106026,C,42,2,M,Single,8,66,0
117868,A,2,2,M,Married,10,480,0
187987,B,39,2,F,Single,14,429,0
139112,B,19,2,F,Single,12,265,0
131994,C,45,2,F,Married,13,110,0
150149,B,31,2,F,Married,12,100,0
133232,B,36,2,F,Married,14,293,0
160087,B,7,2,F,Single,0,639,1
131422,C,44,2,M,Married,4,61,0
142718,B,22,2,M,Married,15,365,0
100408,A,5,2,M,Married,13,185,0
182239,B,32,2,M,Single,6,462,0
177768,C,44,2,F,Single,10,387,0
189122,A,6,2,F,Single,6,430,0
196363,A,0,2,M,Single,14,476,0
188301,A,5,2,F,Married,1,682,1
144348,B,35,2,F,Married,10,370,0
180739,C,48,2,M,Single,9,300,0
164389,C,41,2,M,Single,11,184,0
155619,B,42,2,M,Single,11,526,1
145692,A,1,2,F,Single,0,1162,1
145700,C,51,2,F,Single,8,178,0
170694,A,2,2,M,Married,14,116,0
153192,A,5,2,F,Single,14,362,0
129981,A,0,2,F,Married,8,433,0
197785,A,8,2,M,Single,15,470,0
195513,B,24,2,M,Married,10,365,0
180475,A,0,2,M,Married,7,585,1
116665,C,46,2,M,Married,11,66,0
194917,B,39,2,F,Single,5,422,0
109664,A,0,2,M,Married,6,554,1
102623,B,12,2,F,Single,7,424,0
183726,A,0,2,M,Married,13,205,0
175685,B,9,2,F,Single,13,332,0
125869,A,0,2,F,Single,4,1134,1
189584,A,5,2,F,Married,13,236,0
171919,C,48,2,F,Single,6,271,0
198244,C,50,2,F,Married,11,256,0
159347,B,14,2,M,Single,12,293,0
177116,B,16,2,M,Married,9,422,0
158680,B,13,2,F,Single,15,385,0
168240,C,48,2,M,Single,15,235,0
186942,C,42,2,M,Married,6,108,0
111933,A,6,2,M,Single,13,682,1
105915,A,2,2,M,Single,6,918,1
167605,B,23,2,M,Married,6,330,0
129739,B,36,2,F,Married,1,477,0
173236,B,9,2,F,Single,0,522,1
172782,A,6,2,M,Married,6,643,1
100171,A,0,2,F,Married,14,290,0
112711,B,38,2,M,Married,2,376,0
183420,C,51,2,M,Single,0,247,0
176335,A,1,2,F,Married,11,181,0
171213,A,3,2,M,Single,9,1015,1
194506,C,44,2,M,Single,10,122,0
122533,A,1,2,F,Married,13,121,0
143309,B,18,2,F,Married,5,495,0
187942,B,15,2,M,Married,6,373,0
137836,A,5,2,M,Single,11,758,1
131291,C,46,2,F,Married,10,222,0
184497,C,50,2,M,Single,9,43,0
198115,C,51,2,F,Married,4,387,0
171140,C,51,2,M,Married,5,265,0
129628,A,6,2,F,Married,15,256,0
134636,B,29,2,F,Single,3,478,0
192288,C,51,2,M,Married,12,31,0
188178,C,48,2,F,Single,14,23,0
151901,B,15,2,F,Single,13,239,0
175026,C,44,2,M,Married,15,32,0
149785,C,45,2,F,Married,9,351,0
121972,C,50,2,M,Married,3,61,0
110271,A,0,2,F,Married,15,215,0
150300,A,0,2,F,Married,13,304,0
104824,A,0,2,F,Married,14,251,0
184598,A,1,2,F,Married,9,307,0
123406,C,46,2,F,Married,9,34,0
128056,B,12,2,F,Single,8,475,0
107252,C,43,2,F,Married,10,252,0
131959,B,33,2,F,Married,11,268,0
125317,C,51,2,M,Single,5,267,0
132369,B,13,2,F,Married,4,481,0
177728,C,46,2,M,Single,7,411,0
160549,C,42,2,F,Married,6,70,0
181830,B,40,2,M,Single,0,877,1
171854,B,8,2,F,Married,13,222,0
104634,B,41,2,M,Married,7,383,0
101713,C,41,2,F,Single,13,103,0
152608,B,19,2,F,Single,10,423,0
154436,A,2,2,M,Married,15,484,0
179951,B,27,2,F,Single,1,568,1
198289,B,32,2,F,Married,1,476,0
148193,B,26,2,F,Single,4,692,1
179014,C,43,2,F,Married,12,66,0
102086,C,52,2,M,Married,15,213,0
176351,C,50,2,M,Single,9,400,0
132666,A,0,2,F,Married,14,310,0
145160,A,1,2,M,Single,12,1085,1
100744,C,43,2,M,Single,11,131,0
138460,A,4,2,F,Married,14,344,0
197486,A,7,2,M,Married,12,600,1
168707,A,2,2,M,Single,10,1035,1
185249,A,7,2,F,Single,11,760,1
193331,A,0,2,F,Married,8,253,0
171831,A,1,2,M,Married,6,619,1
107853,A,0,2,M,Married,11,454,0
161457,B,9,2,F,Single,10,454,0
171425,B,6,2,F,Single,0,521,1
182401,B,40,2,F,Married,6,313,0
154873,B,5,2,F,Single,0,744,1
117311,A,7,2,F,Married,13,271,0
147072,B,16,2,M,Married,14,247,0
191778,A,0,2,M,Married,9,469,0
106894,A,6,2,M,Married,12,359,0
182444,C,49,2,F,Single,0,182,0
158699,B,16,2,F,Married,10,331,0
101619,C,47,2,F,Married,1,395,0
171500,B,8,2,M,Married,9,377,0
170694,A,0,2,F,Married,15,184,0
168299,B,30,2,M,Married,7,355,0
129054,C,44,2,M,Single,9,183,0
108413,B,25,2,F,Single,9,418,0
118323,A,6,2,M,Single,11,906,1
124034,C,47,2,F,Married,0,151,0
125763,A,4,2,F,Married,14,388,0
137799,A,4,2,F,Married,12,220,0
173815,C,43,2,F,Single,1,674,1
110498,B,9,2,M,Single,13,359,0
116419,A,5,2,M,Single,11,727,1
192102,C,52,2,F,Married,7,78,0
149627,C,45,2,M,Married,6,240,0
107638,B,17,2,M,Single,2,784,1
114186,C,41,2,M,Married,8,85,0
118460,C,46,2,M,Married,2,189,0
173285,A,0,2,M,Married,13,369,0
169052,A,0,2,M,Single,14,438,0
179398,B,24,2,M,Married,7,354,0
108729,B,22,2,M,Married,2,448,0
126589,A,4,2,F,Married,8,500,1
158528,B,26,2,M,Married,0,682,1
116480,B,13,2,M,Married,7,380,0
191498,A,1,2,M,Married,12,260,0
186896,B,18,2,F,Married,3,488,0
173815,A,7,2,F,Married,4,660,1
188932,C,53,2,F,Married,12,155,0
103823,B,8,2,F,Married,12,315,0
110506,C,50,2,M,Single,7,459,0
112870,B,22,2,M,Married,6,349,0
132331,B,15,2,M,Single,8,447,0
106404,C,41,2,F,Single,10,337,0
131113,C,49,2,M,Single,8,283,0
173821,B,37,2,F,Married,4,434,0
180958,A,3,2,F,Married,12,124,0
180425,A,1,2,F,Married,14,134,0
112065,B,18,2,F,Married,11,291,0
148352,B,16,2,F,Single,12,182,0
173506,C,53,2,M,Married,8,214,0
189302,C,47,2,M,Single,7,327,0
134669,B,34,2,M,Single,5,899,1
164563,A,0,2,F,Married,14,198,0
141018,B,35,2,F,Married,10,304,0
152593,B,10,2,F,Single,8,367,0
120215,B,18,2,M,Married,8,314,0
165566,B,20,2,F,Single,14,404,0
149808,C,50,2,F,Married,15,84,0
168782,A,2,2,M,Single,15,1239,1
186875,C,48,2,F,Married,5,253,0
192468,B,12,2,M,Single,3,484,0
124718,C,51,2,M,Married,7,67,0
140847,B,22,2,F,Single,14,380,0
108141,A,3,2,M,Married,4,884,1
132046,B,18,2,F,Married,10,349,0
139857,B,20,2,M,Married,4,468,0
190609,B,15,2,M,Single,1,603,1
112294,B,40,2,F,Single,9,421,0
110675,B,31,2,M,Married,5,679,1
114872,B,9,2,F,Single,0,655,1
145428,B,12,2,F,Married,8,307,0
168964,B,6,2,F,Single,7,347,0
105080,B,12,2,F,Single,8,388,0
155539,B,11,2,M,Married,7,320,0
160279,B,33,2,M,Single,12,352,0
146826,C,45,2,F,Married,2,107,0
196535,A,0,2,F,Married,11,217,0
188652,B,31,2,M,Single,10,393,0
184791,C,48,2,F,Married,7,129,0
145682,B,18,2,F,Single,7,482,0
140955,C,42,2,M,Single,3,591,1
152969,B,37,2,F,Married,15,142,0
143164,B,38,2,F,Married,9,280,0
181558,B,32,2,F,Single,9,390,0
145803,A,5,2,F,Married,14,330,0
151462,B,17,2,F,Single,7,369,0
111320,B,25,2,F,Single,6,429,0
181824,A,3,2,F,Married,14,154,0
134497,C,43,2,F,Married,8,141,0
139359,B,10,2,F,Single,0,702,1
111806,A,0,2,F,Single,12,812,1
197144,B,12,2,F,Single,2,617,1
161819,B,37,2,F,Single,7,415,0
